artist,title,year,date,TV
Dave East,Don Pablo,2016,2016-09-30,49.08609271523177
Dave East,It Was Written,2016,2016-09-30,63.55921395861108
Anderson .Paak,Come Down,2016,2016-01-15,73.57968970380819
Anderson .Paak,Heart Don't Stand a Chance,2016,2016-01-15,65.36572343833423
Anderson .Paak,Suede,2016,2016-10-21,63.0176322418136
Desiigner,Tiimmy Turner,2016,2016-07-22,38.07696542611762
Desiigner,Overnight,2016,2016-06-26,40.627022653721696
Desiigner,Zombie Walk,2016,2016-06-26,65.2348134991119
21 Savage,No Heart,2016,2016-07-15,78.91530357637926
21 Savage,X (feat. Future),2016,2016-07-15,81.96325459317585
21 Savage,Red Opps,2016,2016-05-15,81.32467818241831
Kamaiyah,Dope Bitch,2017,2017-11-07,54.79515609027285
Kamaiyah,Me Against Myself,2017,2017-11-07,37.46616642101032
Kamaiyah,Slide (Bet),2017,2017-11-07,41.61644806806097
A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),2017,2017-09-29,39.78071882704037
A Boogie Wit da Hoodie,Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again),2017,2017-09-29,36.94343649946639
A Boogie Wit da Hoodie,No Promises,2017,2017-09-29,54.35675005808999
PnB Rock,Selfish,2017,2017-01-13,34.47735000548426
PnB Rock,"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)",2017,2017-03-30,37.88668186258551
PnB Rock,Notice Me,2017,2017-01-13,27.9622889193866
Playboi Carti,Magnolia,2017,2017-04-14,67.76875382062703
Playboi Carti,Location,2017,2017-04-14,48.94820517111537
Playboi Carti,wokeuplikethis*,2017,2017-04-14,44.12099772154933
Aminé,Caroline,2017,2017-07-28,54.6366318047734
Aminé,Spice Girl,2017,2017-07-28,51.54230485707265
Aminé,Heebiejeebies - Bonus,2017,2017-07-28,51.79618159759913
Kap G,I See You (feat. Chris Brown),2017,2017-04-14,42.94313585534144
Kap G,Rings,2017,2017-04-14,47.93337446020976
Kap G,Freakin 'N' Geekin,2017,2017-04-14,71.68066376606292
KYLE,Attention - Acoustic,2017,2017-06-09,38.30353595550258
KYLE,iSpy (feat. Kodak Black),2017,2017-06-09,39.15693122967602
KYLE,Sunshine (feat. Miguel),2017,2017-09-29,40.14700291471296
Ugly God,I'm a Nasty Hoe,2017,2017-08-04,51.72946018679753
MadeinTYO,Skateboard P (feat. Big Sean),2017,2017-02-15,58.8247837212136
MadeinTYO,Too Quick,2017,2017-08-25,76.68513145168382
MadeinTYO,Yah Dig,2017,2017-08-25,60.99497013517762
XXXTENTACION,Revenge,2017,2017-08-25,31.615384615384617
XXXTENTACION,Jocelyn Flores,2017,2017-08-25,44.90382331987652
XXXTENTACION,Everybody Dies In Their Nightmares,2017,2017-08-25,30.431244914564687
Ski Mask The Slump God,Unbothered,2018,2018-11-30,60.675633406318426
Ski Mask The Slump God,Nuketown (feat. Juice WRLD),2018,2018-11-30,66.9878203962916
